tech;rat;upt
B;A;1.119
B;A;1.2996
B;A;1.5407
B;A;1.5084
B;A;1.6181
B;A;1.5962
B;A;1.2617
B;A;1.2288
B;A;1.3471
B;A;1.0206
B;B;1.045
B;B;1.1418
B;B;1.2569
B;B;0.6191
B;B;1.4823
B;B;0.8991
B;B;0.8365
B;B;1.2898
B;B;1.1821
B;B;0.9177
B;C;0.9873
B;C;0.9873
B;C;0.8714
B;C;0.9452
B;C;1.1186
B;C;1.2909
B;C;1.1502
B;C;1.1635
B;C;1.151
B;C;0.9367
J;D;1.3883
J;D;1.104
J;D;1.1581
J;D;1.319
J;D;1.1803
J;D;0.8738
J;D;1.387
J;D;1.301
J;D;1.3925
J;D;1.0832
J;E;1.3952
J;E;0.9714
J;E;1.3972
J;E;1.5369
J;E;1.3727
J;E;1.2909
J;E;1.1874
J;E;1.1374
J;E;1.0647
J;E;0.9486
J;F;1.2574
J;F;1.0295
J;F;1.1941
J;F;1.0759
J;F;1.3249
J;F;0.9494
J;F;1.1041
J;F;1.1575
J;F;1.294
J;F;1.4543
