stocking,hgt
714,13.4
714,13.7
714,15.3
714,13.5
714,14.8
714,13.9
714,14.5
714,14.4
714,14.2
714,14.8
714,14.4
714,12.7
714,14.6
714,11.3
714,12.5
714,14.8
714,11.2
714,15.1
714,15.3
714,15.2
3333,15.5
3333,14.9
3333,16.6
3333,16.3
3333,17.5
3333,16.3
3333,15.9
3333,14.3
3333,15.4
3333,14.4
3333,15.7
3333,15.9
3333,15.9
3333,16
3333,16.4
3333,16.3
3333,14.8
3333,15.6
3333,15.1
3333,14.3
3333,16
3333,16.6
3333,17.1
3333,17.2
3333,16.6
3333,17.5
3333,15.2
3333,18.3
3333,17.7
3333,17
3333,16.2
3333,16
3333,15.6
3333,14.9
3333,16.2
3333,14.9
3333,16.4
3333,16.8
3333,15.9
3333,16.4
714,16.8
714,14.1
714,14.8
714,14.8
714,14.7
714,15.2
714,22.8
714,13.3
714,23.1
714,19
714,14.2
714,17
714,18.1
714,15.2
714,14
714,15.8
714,12.7
714,13.3
714,15.5
714,16.6
1000,12.9
1000,18.4
1000,17.6
1000,16.5
1000,15.8
1000,14.8
1000,18.2
1000,18.5
1000,18.6
1000,16.7
1000,20.7
1000,14.6
1000,15.8
1000,15.8
1000,14.3
1000,16.4
1000,15.2
1000,17.9
1000,16.8
1000,18
1000,18.1
1000,18.7
1000,17.6
1000,20.1
1000,18.3
1000,17.5
1000,18.6
1000,19.1
1000,20.3
1000,19.7
1000,19.6
1000,18.9
1000,17.7
1000,16.4
1000,17.9
1000,18.3
1000,17.2
1000,18
1000,17.8
1000,17.3
1000,15.6
1000,18
1000,19.3
1000,17.1
1000,17.1
1000,17.5
1000,19.2
1000,18.5
1000,18
1000,17.2
1000,19.1
1000,14.4
1000,18.6
1000,17.1
1000,16.3
1000,19.1
1000,18.4
1000,16.6
1000,18.3
1000,18.2
1667,18.6
1667,17.1
1667,17.2
1667,17.9
1667,16.8
1667,17.2
1667,17.9
1667,17.8
1667,17.2
1667,18.4
1667,18.7
1667,17.9
1667,18.2
1667,18.1
1667,17.5
1667,18.7
1667,18
1667,19
1667,17.7
1667,19.2
1667,18.3
1667,18.5
1667,18.3
1667,18.6
1667,19.1
1667,18.6
1667,19.5
1667,16
1667,18.6
1667,17
1667,18.6
1667,17.6
1667,19.2
1667,17.7
1667,18.9
1667,19.9
1667,18
1667,19.4
1667,18.7
1667,19.6
1667,15.5
1667,18.5
1667,19.6
1667,18.3
1667,19.9
1667,18.3
1667,17.1
1667,18.2
1667,17.4
1667,18.2
1667,19.6
1667,16.2
1667,17.7
1667,16.4
1667,18.9
1667,17.5
1667,17.5
1667,16.7
1667,16.8
1667,18.2
3333,17.2
3333,17.5
3333,15.1
3333,16.4
3333,16.2
3333,17.1
3333,15
3333,16.9
3333,15.6
3333,17.1
3333,15.6
3333,16.2
3333,16.1
3333,17.3
3333,16.2
3333,17.1
3333,18.1
3333,17.9
3333,18.4
3333,17.4
714,15
714,10.5
714,10.5
714,13.8
714,14.4
714,14.1
714,16.3
714,17.6
714,18.6
714,16.8
714,15.5
714,16.5
714,17.6
714,12.1
714,15.4
714,15.9
714,13.9
714,11.9
714,13.2
714,14.4
